"ID","Name","Class","Type","Power","Power %","Attraction %","Luck","Effect","Requirement","Tradable","Givable","Limited","Link"
"36","Ambrosial Portal","Weapon","Shadow","1,025","","5%","","Fresh","Master","No","No","No","link"
"37","Ambush Trap","Weapon","Tactical","3,000","5%","","12","Fresh","Grandmaster","No","No","No","link"
"38","Ancient Box Trap","Weapon","Forgotten","4,300","10%","","4","","Hero","No","No","No","link"
"39","Ancient Spear Gun","Weapon","Hydro","3,600","5%","10%","12","Fresh","Legendary","No","No","No","link"
"40","Bottomless Grave","Weapon","Shadow","1,500","","","5","","Master","No","No","No","link"
"41","Christmas Cracker Trap","Weapon","Physical","3,000","15%","5%","24","Very Fresh","Initiate","No","No","Yes","link"
"42","Chrome DrillBot","Weapon","Physical","3,900","20%","","26","Insanely Stale","Grandmaster","No","No","Yes","link"
"43","Chrome Nannybot","Weapon","Shadow","1,200","5%","5%","6","Fresh","Grandmaster","No","No","Yes","link"
"44","Clockapult of Time","Weapon","Shadow","2,275","10%","5%","10","Extremely Fresh","Legendary","No","No","No","link"
"45","Chrome DeathBot","Weapon","Physical","2,800","20%","15%","30","Very Stale","Journeyman","No","No","Yes","link"
"46","Digby DrillBot","Weapon","Physical","3,200","18%","","5","","Master","No","No","No","link"
"47","Giant Speaker","Weapon","Tactical","2,850","5%","5%","22","","Journeyman","No","No","Yes","link"
"48","Gingerbread House Surprise","Weapon","Tactical","2,200","10%","10%","8","Uber Fresh","Journeyman","No","No","No","link"
"49","Gorgon Trap","Weapon","Shadow","2,000","5%","5%","7","Very Stale","Legendary","No","No","No","link"
"50","Harpoon Gun","Weapon","Hydro","3,000","7%","","","Stale","Legendary","No","No","No","link"
"51","High Tension Spring","Weapon","Physical","75","5%","20%","2","","Novice","No","No","No","link"
"52","HitGrab Horsey","Weapon","Physical","550","2%","","20","Very Fresh","Novice","No","No","Yes","link"
"53","HitGrab Rainbow Rockin' Horse","Weapon","Physical","1,250","2%","10%","25","Uber Fresh","Grandmaster","No","No","Yes","link"
"54","HitGrab Rockin' Horse","Weapon","Physical","1,250","2%","10%","25","","Apprentice","No","No","Yes","link"
"55","Horrific Venus Mouse Trap","Weapon","Tactical","3,400","12%","1%","16","","Legendary","No","No","No","link"
"56","Ice Maiden","Weapon","Draconic","5,200","12%","","8","","Knight","No","No","No","link"
"57","Kraken Chaos","Weapon","Hydro","3,400","","","18","Very Stale","Grandmaster","No","No","Yes","link"
"58","Mouse DeathBot","Weapon","Physical","2,400","15%","10%","2","Stale","Journeyman","No","No","No","link"
"59","Mouse Mary O'Nette","Weapon","Physical","250","","6%","5","Fresh","Recruit","No","No","No","link"
"60","Mouse Rocketine","Weapon","Physical","650","6%","","","Extremely Stale","Apprentice","No","No","No","link"
"61","Mouse Trebuchet","Weapon","Physical","600","2%","4%","1","Very Fresh","Apprentice","No","No","No","link"
"62","Mutated Venus Mouse Trap","Weapon","Tactical","2,300","15%","","8","Insanely Stale","Master","No","No","No","link"
"63","Nannybot","Weapon","Parental","525","5%","","5","","Novice","No","No","Yes","link"
"64","Net Cannon","Weapon","Hydro","3,000","","3%","5","Stale","Legendary","No","No","No","link"
"65","NVMRC Forcefield Trap","Weapon","Physical","2,350","12%","10%","12","","Journeyman","No","No","No","link"
"66","Obelisk of Incineration","Weapon","Arcane","2,150","10%","","1","Insanely Stale","Legendary","No","No","No","link"
"67","Obelisk of Slumber","Weapon","Arcane","2,100","","10%","","Extremely Fresh","Legendary","No","No","No","link"
"68","Onyx Mallet","Weapon","Physical","3,800","12%","","6","Stale","Grandmaster","No","No","No","link"
"69","PartyBot","Weapon","Physical","2,850","15%","15%","25","Stale","Journeyman","No","No","Yes","link"
"70","RhinoBot","Weapon","Physical","4,950","","","8","Very Stale","Legendary","No","No","No","link"
"71","Sinister Portal","Weapon","Shadow","1,025","5%","","","Stale","Master","No","No","No","link"
"72","Snow Barrage","Weapon","Tactical","1,450","20%","20%","28","Very Fresh","Initiate","No","No","Yes","link"
"73","Snowglobe Trap","Weapon","Physical","2,350","12%","10%","16","","Journeyman","No","No","Yes","link"
"74","Swiss Army Mouse Trap","Weapon","Physical","1,200","2%","2%","10","","Initiate","No","No","No","link"
"75","Tacky Glue Trap","Weapon","Physical","70","","40%","2","Stale","Novice","No","No","No","link"
"76","Thorned Venus Mouse Trap","Weapon","Tactical","3,400","5%","2%","14","Very Fresh","Legendary","No","No","No","link"
"77","Venus Mouse Trap","Weapon","Tactical","1,900","","5%","5","Extremely Fresh","Master","No","No","No","link"
"78","Zugzwang's Last Move","Weapon","Tactical","2,200","15%","","7","Fresh","Grandmaster","No","No","No","link"
"79","Ancient Cheese","Bait","","","","","","","","No","No","No","link"
"80","Brie Cheese","Bait","","","","","","","","No","No","No","link"
"81","Cheddar Cheese","Bait","","","","","","","","No","No","No","link"
"82","Combat Cheese","Bait","","","","","","","","No","No","No","link"
"83","Creamy Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"84","Crunchy Cheese","Bait","","","","","","","","No","No","No","link"
"85","Crunchy Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"86","-","-","","","","","","","","-","-","-","-"
"87","Gauntlet Cheese Tier 2","Bait","","","","","","","","No","No","No","link"
"88","Gauntlet Cheese Tier 3","Bait","","","","","","","","No","No","No","link"
"89","Gauntlet Cheese Tier 4","Bait","","","","","","","","No","No","No","link"
"90","Gauntlet Cheese Tier 5","Bait","","","","","","","","No","No","No","link"
"91","Gauntlet Cheese Tier 6","Bait","","","","","","","","No","No","No","link"
"92","Gauntlet Cheese Tier 7","Bait","","","","","","","","No","No","No","link"
"93","Gauntlet Cheese Tier 8","Bait","","","","","","","","No","No","No","link"
"94","Gilded Cheese","Bait","","","","","","","","No","No","No","link"
"95","Gingerbread Cheese","Bait","","","","","","","","No","No","No","link"
"96","Glutter Cheese","Bait","","","","","","","","No","No","No","link"
"97","Gnarled Cheese","Bait","","","","","","","","No","No","No","link"
"98","Gouda Cheese","Bait","","","","","","","","No","No","No","link"
"99","Gumbo Cheese","Bait","","","","","","","","No","No","No","link"
"100","Inferno Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"101","Limelight Cheese","Bait","","","","","","","","No","No","No","link"
"102","Magical Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"103","Maki Cheese","Bait","","","","","","","","Yes","Yes","No","link"
"104","Marble Cheese","Bait","","","","","","","","No","No","No","link"
"105","Moon Cheese","Bait","","","","","","","","Yes","Yes","No","link"
"106","Onyx Gorgonzola","Bait","","","","","","","","No","No","No","link"
"107","Pungent Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"108","Radioactive Blue Cheese","Bait","","","","","","","","Yes","Yes","No","link"
"109","Rockforth Cheese","Bait","","","","","","","","No","No","No","link"
"110","Rumble Cheese","Bait","","","","","","","","No","No","No","link"
"111","Runic Cheese","Bait","","","","","","","","No","No","No","link"
"112","Shell Cheese","Bait","","","","","","","","No","No","No","link"
"113","Spicy Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"114","SUPER|brie+","Bait","","","","","","","","Yes","Yes","No","link"
"115","Susheese Cheese","Bait","","","","","","","","No","No","No","link"
"116","Sweet Havarti Cheese","Bait","","","","","","","","No","No","No","link"
"117","Swiss Cheese","Bait","","","","","","","","No","No","No","link"
"118","Vanilla Stilton Cheese","Bait","","","","","","","","No","No","No","link"
"119","Vengeful Vanilla Stilton Cheese","Bait","","","","","","","","No","No","No","link"
"120","White Cheddar Cheese","Bait","","","","","","","","No","No","No","link"
"121","Wicked Gnarly Cheese","Bait","","","","","","","","No","No","No","link"
"122","Ancient Potion","Potion","","","","","","","","No","No","No","link"
"123","Brie Potion","Potion","","","","","","","","No","No","No","link"
"124","Corrupted Radioactive Blue Potion","Potion","","","","","","","","No","No","No","link"
"125","Gauntlet Potion Tier 2","Potion","","","","","","","","No","No","No","link"
"126","Gauntlet Potion Tier 3","Potion","","","","","","","","No","No","No","link"
"127","Gauntlet Potion Tier 4","Potion","","","","","","","","No","No","No","link"
"128","Gauntlet Potion Tier 5","Potion","","","","","","","","No","No","No","link"
"129","Gauntlet Potion Tier 6","Potion","","","","","","","","No","No","No","link"
"130","Gauntlet Potion Tier 7","Potion","","","","","","","","No","No","No","link"
"131","Gauntlet Potion Tier 8","Potion","","","","","","","","No","No","No","link"
"132","Gnarled Potion","Potion","","","","","","","","No","No","No","link"
"133","Greater Brie Potion","Potion","","","","","","","","No","No","No","link"
"134","Greater Radioactive Blue Potion","Potion","","","","","","","","No","No","No","link"
"135","Radioactive Blue Potion","Potion","","","","","","","","No","No","No","link"
"136","Runic Potion","Potion","","","","","","","","No","No","No","link"
"137","Wicked Gnarly Potion","Potion","","","","","","","","No","No","No","link"
"138","Birthday Gift","Special","","","","","","","","No","No","No","link"
"139","Magical Blue Pepper Plant","Special","","","","","","","","No","No","No","link"
"140","Champions Chest","Special","","","","","","","","No","No","No","link"
"141","Dragon's Chest","Special","","","","","","","","No","No","No","link"
"142","Fancy Birthday Gift","Special","","","","","","","","No","No","No","link"
"143","Gift","Special","","","","","","","","No","No","No","link"
"144","Crunchy Green Pepper Plant","Special","","","","","","","","No","No","No","link"
"145","Magically Wrapped Gift","Special","","","","","","","","No","No","No","link"
"146","Mysterious Box","Special","","","","","","","","No","No","No","link"
"147","Mysterious Box (old)","Special","","","","","","","","No","No","No","link"
"148","Creamy Orange Pepper Plant","Special","","","","","","","","No","No","No","link"
"149","Pungent Purple Pepper Plant","Special","","","","","","","","No","No","No","link"
"150","Spicy Red Pepper Plant","Special","","","","","","","","No","No","No","link"
"151","Red Pocket Envelope","Special","","","","","","","","No","No","No","link"
"152","Ronzas Blue Satchel of Surprise","Special","","","","","","","","No","No","No","link"
"153","Ronzas Green Satchel of Surprise","Special","","","","","","","","No","No","No","link"
"154","Ronzas Red Satchel of Surprise","Special","","","","","","","","No","No","No","link"
"155","Slightly Smaller Gift","Special","","","","","","","","No","No","No","link"
"156","Stolen Birthday Gift","Special","","","","","","","","No","No","No","link"
"157","Unstable Curd","Special","","","","","","","","No","No","No","link"
"158","Inferno Pepper Plant","Special","","","","","","","","No","No","No","link"
"159","Sweet Yellow Pepper Plant","Special","","","","","","","","No","No","No","link"
"160","Plankrun's Journal Back Cover","Torn Page","","","","","","","","No","No","No","link"
"161","Plankrun's Dojo Notes","Torn Page","","","","","","","","No","No","No","link"
"162","Plankrun's Journal Cover","Torn Page","","","","","","","","No","No","No","link"
"163","Plankrun's Gnawnia Notes","Torn Page","","","","","","","","No","No","No","link"
"164","Ambush Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"165","Ancient Box Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"166","Ancient Frayed Blueprint Piece","Crafting","","","","","","","","No","No","No","link"
"167","Ancient Mangled Blueprint Piece","Crafting","","","","","","","","No","No","No","link"
"168","Ancient Relic Staff","Crafting","","","","","","","","No","No","No","link"
"169","Ancient Ripped Blueprint Piece","Crafting","","","","","","","","No","No","No","link"
"170","Ancient Spear","Crafting","","","","","","","","No","No","No","link"
"171","Ancient Spear Launcher Blueprints","Crafting","","","","","","","","No","No","No","link"
"172","Ancient Torn Blueprint Piece","Crafting","","","","","","","","No","No","No","link"
"173","Bead of Slumber","Crafting","","","","","","","","No","No","No","link"
"174","Blue Pepper Seed","Crafting","","","","","","","","No","No","No","link"
"175","Bolt of Cloth","Crafting","","","","","","","","No","No","No","link"
"176","Bottled-Up Rage","Crafting","","","","","","","","No","No","No","link"
"177","Burroughs Salmon","Crafting","","","","","","","","No","No","No","link"
"178","Candies","Crafting","","","","","","","","No","No","No","link"
"179","Cheesy Fluffs","Crafting","","","","","","","","No","No","No","link"
"180","Chrome Nanite Coating","Crafting","","","","","","","","No","No","No","link"
"181","Coal","Crafting","","","","","","","","No","No","No","link"
"182","Coconut Milk","Crafting","","","","","","","","No","No","No","link"
"183","Compass","Crafting","","","","","","","","No","No","No","link"
"184","Creamy Orange Pepper","Crafting","","","","","","","","No","No","No","link"
"185","Crunchy Green Pepper","Crafting","","","","","","","","No","No","No","link"
"186","Curds and Whey","Crafting","","","","","","","","Yes","No","No","link"
"187","DeathBot Parts","Crafting","","","","","","","","No","No","No","link"
"188","Dehydration Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"189","Delicious Stone","Crafting","","","","","","","","No","No","No","link"
"190","Digby DrillBot Parts","Crafting","","","","","","","","No","No","No","link"
"191","Dragon Ember","Crafting","","","","","","","","No","No","No","link"
"192","Droid Parts","Crafting","","","","","","","","No","No","No","link"
"193","Encrusted Metal of Time","Crafting","","","","","","","","No","No","No","link"
"194","Engraved Solid Stone Slab","Crafting","","","","","","","","No","No","No","link"
"195","Ethereal Rope","Crafting","","","","","","","","No","No","No","link"
"196","Fire Salt","Crafting","","","","","","","","No","No","No","link"
"197","Frozen Scroll","Crafting","","","","","","","","No","No","No","link"
"198","Gingerbread Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"199","Gingerbread House Plans","Crafting","","","","","","","","No","No","No","link"
"200","High Tension Spring Parts","Crafting","","","","","","","","No","No","No","link"
"201","Hinge of Eternity","Crafting","","","","","","","","No","No","No","link"
"202","Hobby Horse Parts","Crafting","","","","","","","","No","No","No","link"
"203","Icing Sugar","Crafting","","","","","","","","No","No","No","link"
"204","Inferno Pepper","Crafting","","","","","","","","No","No","No","link"
"205","Intimidating Pincher","Crafting","","","","","","","","No","No","No","link"
"206","Invisi-glu","Crafting","","","","","","","","No","No","No","link"
"207","Ionized Salt","Crafting","","","","","","","","Yes","No","No","link"
"208","King's Reserve Bubbleh","Crafting","","","","","","","","No","No","No","link"
"209","Launcher Parts","Crafting","","","","","","","","No","No","No","link"
"210","Living Shard","Crafting","","","","","","","","No","No","No","link"
"211","Magic Essence","Crafting","","","","","","","","No","No","No","link"
"212","Magical Blue Pepper","Crafting","","","","","","","","No","No","No","link"
"213","Master Belt Shard","Crafting","","","","","","","","No","No","No","link"
"214","Master Claw Shard","Crafting","","","","","","","","No","No","No","link"
"215","Master Fang Shard","Crafting","","","","","","","","No","No","No","link"
"216","Master's Seal","Crafting","","","","","","","","No","No","No","link"
"217","Meteorite Piece","Crafting","","","","","","","","No","No","No","link"
"218","Mysterious Blueprints","Crafting","","","","","","","","No","No","No","link"
"219","Nanny Bolts","Crafting","","","","","","","","No","No","No","link"
"220","Superstar Nanny Glasses","Crafting","","","","","","","","No","No","No","link"
"221","Nannybot Parts","Crafting","","","","","","","","No","No","No","link"
"222","Nori","Crafting","","","","","","","","No","No","No","link"
"223","Obelisk of Incineration Blueprints","Crafting","","","","","","","","No","No","No","link"
"224","Obelisk Parts","Crafting","","","","","","","","No","No","No","link"
"225","Antique Lantern","Crafting","","","","","","","","No","No","No","link"
"226","Onyx Mallet Blueprints","Crafting","","","","","","","","No","No","No","link"
"227","Onyx Stone","Crafting","","","","","","","","No","No","No","link"
"228","Paint-brand Paint","Crafting","","","","","","","","No","No","No","link"
"229","Party Hat","Crafting","","","","","","","","No","No","Yes","link"
"230","Pinch of Annoyance","Crafting","","","","","","","","No","No","No","link"
"231","Plank of Gingerbread","Crafting","","","","","","","","No","No","No","link"
"232","Plant Pot","Crafting","","","","","","","","No","No","No","link"
"233","Tiny Platinum Bar","Crafting","","","","","","","","No","No","No","link"
"234","Pungent Purple Pepper","Crafting","","","","","","","","No","No","No","link"
"235","Radioactive Sludge","Crafting","","","","","","","","No","No","No","link"
"236","Rainbow Mohawk Wig of Awesomeness","Crafting","","","","","","","","No","No","No","link"
"237","Raisins of Wrath","Crafting","","","","","","","","No","No","No","link"
"238","Red Pepper Seed","Crafting","","","","","","","","No","No","No","link"
"239","Rhino Horn","Crafting","","","","","","","","No","No","No","link"
"240","RhinoBot Blueprints","Crafting","","","","","","","","No","No","No","link"
"241","Rice Paper","Crafting","","","","","","","","No","No","No","link"
"242","Rope","Crafting","","","","","","","","No","No","No","link"
"243","Rune","Crafting","","","","","","","","No","No","No","link"
"244","Salt","Crafting","","","","","","","","Yes","No","No","link"
"245","Savoury Vegetables","Crafting","","","","","","","","No","No","No","link"
"246","Scrap Metal","Crafting","","","","","","","","No","No","No","link"
"247","Seashell","Crafting","","","","","","","","No","No","No","link"
"248","Sextant","Crafting","","","","","","","","No","No","No","link"
"249","Ship Blueprints","Crafting","","","","","","","","No","No","No","link"
"250","Spicy Red Pepper","Crafting","","","","","","","","No","No","No","link"
"251","Splintered Wood","Crafting","","","","","","","","No","No","No","link"
"252","Stale Cheese","Crafting","","","","","","","","No","No","No","link"
"253","Stale SUPER|brie+","Crafting","","","","","","","","No","No","No","link"
"254","Sweet Yellow Pepper","Crafting","","","","","","","","No","No","No","link"
"255","Telescope","Crafting","","","","","","","","No","No","No","link"
"256","Thorned Mouse Trap Plans","Crafting","","","","","","","","No","No","No","link"
"257","Thorned Venus Mouse Trap Husk","Crafting","","","","","","","","No","No","No","link"
"258","Thorned Vine","Crafting","","","","","","","","No","No","No","link"
"259","Timeless Mystic Gem","Crafting","","","","","","","","No","No","No","link"
"260","Time Out Hour Glass","Crafting","","","","","","","","No","No","No","link"
"261","Time Out Upgrade","Crafting","","","","","","","","No","No","No","link"
"262","Token of the Cheese Belt","Crafting","","","","","","","","No","No","No","link"
"263","Token of the Cheese Claw","Crafting","","","","","","","","No","No","No","link"
"264","Token of the Cheese Fang","Crafting","","","","","","","","No","No","No","link"
"265","Veteran Tournament Token","Crafting","","","","","","","","No","No","No","link"
"266","Unchristened Ship","Crafting","","","","","","","","No","No","No","link"
"267","Vanilla Bean","Crafting","","","","","","","","No","No","No","link"
"268","Venus Mouse Trap Husk","Crafting","","","","","","","","No","No","No","link"
"269","Yellow Pepper Seed","Crafting","","","","","","","","No","No","No","link"
"270","Attraction Bonus Candy","Collectible","","","","","","","","No","No","No","link"
"271","Bow and Arrow","Collectible","","","","","","","","No","No","No","link"
"272","Candygram","Collectible","","","","","","","","No","No","No","link"
"273","Chinese Knot","Collectible","","","","","","","","No","No","No","link"
"274","Christmas Coal","Collectible","","","","","","","","No","No","No","link"
"275","Cinnahearts","Collectible","","","","","","","","No","No","No","link"
"276","Crown Jewel","Collectible","","","","","","","","No","No","No","link"
"277","Crush","Collectible","","","","","","","","No","No","No","link"
"278","Crushed","Collectible","","","","","","","","No","No","No","link"
"279","DHU-","Collectible","","","","","","","","No","No","No","link"
"280","DLU+","Collectible","","","","","","","","No","No","No","link"
"281","Dumplings","Collectible","","","","","","","","No","No","No","link"
"282","Eight Elf Shoes","Collectible","","","","","","","","No","No","Yes","link"
"283","Eleven Coloured Lights","Collectible","","","","","","","","No","No","Yes","link"
"284","Festive Copyright Claim","Collectible","","","","","","","","No","No","No","link"
"285","Five Ornaments","Collectible","","","","","","","","No","No","Yes","link"
"286","Four Festive Stockings","Collectible","","","","","","","","No","No","Yes","link"
"287","Gold Brick","Collectible","","","","","","","","No","No","No","link"
"288","Gold Tiger Statue","Collectible","","","","","","","","No","No","No","link"
"289","Greeting Card","Collectible","","","","","","","","No","No","No","link"
"290","Heart Key","Collectible","","","","","","","","No","No","Yes","link"
"291","Itchy Sweater","Collectible","","","","","","","","No","No","No","link"
"292","-","-","","","","","","","","","","","link"
"293","Mistletoe","Collectible","","","","","","","","No","No","No","link"
"294","Mouse Macaroon","Collectible","","","","","","","","No","No","No","link"
"295","Nine Reindeer Antlers","Collectible","","","","","","","","No","No","Yes","link"
"296","One Droid Action Figure","Collectible","","","","","","","","No","No","Yes","link"
"297","Ox Mask","Collectible","","","","","","","","No","No","No","link"
"298","Paper Dragon Mask","Collectible","","","","","","","","No","No","No","link"
"299","Petrified Fruitcake","Collectible","","","","","","","","No","No","No","link"
"300","-","-","","","","","","","","","","","link"
"301","Posing Mouse Action Figure","Collectible","","","","","","","","No","No","No","link"
"302","Rabbit Mask","Collectible","","","","","","","","No","No","No","link"
"303","Reindeer Slippers","Collectible","","","","","","","","No","No","No","link"
"304","Ronzaburger with Cheese","Collectible","","","","","","","","No","No","Yes","link"
"305","Seven Gingerbread Mice","Collectible","","","","","","","","No","No","Yes","link"
"306","Six Snow Balls","Collectible","","","","","","","","No","No","Yes","link"
"307","Sleigh Bell","Collectible","","","","","","","","No","No","No","link"
"308","Smashed Teddy Bear","Collectible","","","","","","","","No","No","No","link"
"309","Soggy Fireworks","Collectible","","","","","","","","No","No","No","link"
"310","Ten Candy Canes","Collectible","","","","","","","","No","No","Yes","link"
"311","Three Santa Hats","Collectible","","","","","","","","No","No","Yes","link"
"312","Tiger Heart Chest","Collectible","","","","","","","","No","No","Yes","link"
"313","Tiger Key","Collectible","","","","","","","","No","No","Yes","link"
"314","Tiger Mask","Collectible","","","","","","","","No","No","No","link"
"315","Lump of Spoiled Egg Nog","Collectible","","","","","","","","No","No","Yes","link"
"316","Two Festive Mitts","Collectible","","","","","","","","No","No","Yes","link"
"317","Valentine from the Devs","Collectible","","","","","","","","No","No","Yes","link"
"318","Valentine Rejection Letter","Collectible","","","","","","","","No","No","No","link"
"319","Wreath","Collectible","","","","","","","","No","No","No","link"
"320","Yule Log","Collectible","","","","","","","","No","No","No","link"
"321","Not So Secret Admirer Bunny","Message","","","","","","","","No","No","No","link"
"322","Plush Terrible Twos Mouse","Message","","","","","","","","No","No","No","link"
"323","Plush Tiger","Message","","","","","","","","No","No","No","link"
"324","Santa Bear","Message","","","","","","","","No","No","No","link"
"325","Slap Cat","Message","","","","","","","","No","No","No","link"
"326","Teddy Bear","Message","","","","","","","","No","No","No","link"
"327","Toy Ronza Ship","Message","","","","","","","","No","No","No","link"
"328","Acolyte Relic (125,000 bonus points)","Bonus","","","","","","","","No","No","No","link"
"329","Combat Research (1,250 bonus points)","Bonus","","","","","","","","No","No","No","link"
"330","Combat Research (750 bonus points)","Bonus","","","","","","","","No","No","No","link"
"331","Satchel of Gold (10,000 gold)","Bonus","","","","","","","","No","No","No","link"
"332","Satchel of Gold (1,000 gold)","Bonus","","","","","","","","No","No","No","link"
"333","Satchel of Gold (250 gold)","Bonus","","","","","","","","No","No","No","link"
"334","Satchel of Gold (50,000 gold)","Bonus","","","","","","","","No","No","No","link"
"335","Satchel of Gold (5,000 gold)","Bonus","","","","","","","","No","No","No","link"
"336","Satchel of Gold (500 gold)","Bonus","","","","","","","","No","No","No","link"
"337","Satchel of Gold (750 gold)","Bonus","","","","","","","","No","No","No","link"
"338","Hunting Research (5,000 bonus points)","Bonus","","","","","","","","No","No","No","link"
"339","Lab Research (1,000 bonus points)","Bonus","","","","","","","","No","No","No","link"
"340","Lab Research (500 bonus points)","Bonus","","","","","","","","No","No","No","link"
"341","Lab Research (750 bonus points)","Bonus","","","","","","","","No","No","No","link"
"342","Molten Shrapnel Base","Base","","300","12%","5%","8","Extremely Stale","Knight","No","No","No","link"
"343","Cherry Cheese","Bait","","","","","","","","No","No","No","link"
"344","SUPER|brie+ Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"345","Cherry Potion","Potion","","","","","","","","No","No","No","link"
"346","Insta-Horn","Special","","","","","","","","No","No","No","link"
"347","Zugzwang's Scarf","Map","","","","","","","","No","No","No","link"
"348","Zugzwang's Tower Key","Map","","","","","","","","No","No","No","link"
"349","Fluffy DeathBot","Weapon","Physical","2,400","15%","10%","2","Stale","Journeyman","No","No","No","link"
"350","Grungy Deathbot","Weapon","Physical","2,400","15%","10%","2","Stale","Journeyman","No","No","No","link"
"351","Power Charm","Charm","","120","1%","","","","","No","No","No","link"
"352","-","-","","","","","","","","","","","link"
"353","Heat Bath","Weapon","Hydro","4,000","5%","","14","Stale","Knight","No","No","No","link"
"354","Mystic Pawn Pincher","Weapon","Tactical","60","5%","20%","","Fresh","Lord","No","No","No","link"
"355","-","-","","","","","","","","","","","link"
"356","Technic Pawn Pincher","Weapon","Tactical","60","5%","20%","","Stale","Lord","No","No","No","link"
"357","Zugzwang's First Move","Weapon","Tactical","3,660","15%","","17","Very Fresh","Lord","No","No","No","link"
"358","Chess Pieces","Crafting","","","","","","","","No","No","No","link"
"359","undefined","undefined","","","","","","","","","","","link"
"360","Fall Key Shard","Crafting","","","","","","","","No","No","No","link"
"361","Heat Bath Blueprints","Crafting","","","","","","","","No","No","No","link"
"362","Magic Feather","Crafting","","","","","","","","No","No","No","link"
"363","-","-","","","","","","","","","","","link"
"364","Spring Key Shard","Crafting","","","","","","","","No","No","No","link"
"365","Summer Key Shard","Crafting","","","","","","","","No","No","No","link"
"366","Winter Key Shard","Crafting","","","","","","","","No","No","No","link"
"367","Zugzwang's First Move Blueprints","Crafting","","","","","","","","No","No","No","link"
"368","Spellbook Base","Base","","500","14%","5%","7","Fresh","Lord","No","No","No","link"
"369","Blackstone Pass Trap","Weapon","Tactical","3,000","15%","","12","Very Fresh","Lord","No","No","No","link"
"370","Obvious Ambush Trap","Weapon","Tactical","3,000","15%","","12","Very Stale","Lord","No","No","No","link"
